City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,29.12,86,100,3.58,overcast clouds
80,Anori,BR,-3.7728,-61.6442,73.17,99,90,1.1,moderate rain
81,Ewo,CG,-0.8725,14.8206,70.52,94,100,6.24,overcast clouds
82,Avarua,CK,-21.2078,-159.775,78.85,73,75,10.36,broken clouds
83,Jacksonville,US,30.3322,-81.6556,79.99,83,1,6.91,mist
84,Muravlenko,RU,63.7898,74.523,30.06,93,100,20.71,light snow
85,The Valley,AI,18.217,-63.0578,84.06,73,94,16.22,overcast clouds
86,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,100,90,4.47,mist
87,Hambantota,LK,6.1241,81.1185,80.94,89,20,3.44,few clouds
88,Eura,FI,61.1333,22.1333,49.78,88,100,10.56,overcast clouds
89,Arman,RU,59.7,150.1667,43.72,93,93,3.96,light rain
90,Agadir,MA,30.4202,-9.5982,66.65,40,0,2.73,clear sky
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.86,93,99,8.59,overcast clouds
92,Saldanha,ZA,-33.0117,17.9442,46.45,83,56,11.86,light rain
93,Alice,US,27.7523,-98.0697,78.37,94,75,3.44,broken clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,44.89,85,84,21.25,broken clouds
95,Pandan,PH,14.0453,124.1694,85.87,69,99,6.44,light rain
96,Pisco,PE,-13.7,-76.2167,62.02,82,0,2.3,clear sky
97,Juegang,CN,32.3174,121.1855,85.96,60,1,9.91,clear sky
98,Luderitz,NA,-26.6481,15.1594,55.98,91,56,18.68,broken clouds
99,Tuatapere,NZ,-46.1333,167.6833,59.83,63,100,6.58,light rain
100,Atuona,PF,-9.8,-139.0333,78.28,73,87,20.85,overcast clouds
101,Portland,US,45.5234,-122.6762,59.61,81,82,1.01,broken clouds
102,Bluff,NZ,-46.6,168.3333,59.81,73,100,17.02,overcast clouds
103,Kapaa,US,22.0752,-159.319,82.38,75,6,1.99,clear sky
104,Lorengau,PG,-2.0226,147.2712,84.78,65,74,3.29,broken clouds
105,Dubai,AE,25.2582,55.3047,90.21,84,100,5.75,haze
106,Pokhara,NP,28.2333,83.9833,69.44,95,100,3.29,light rain
107,Usak,TR,38.5,29.4167,47.89,63,0,7.43,clear sky
108,Sobolevo,RU,54.4299,31.8996,37.89,92,27,6.17,scattered clouds
109,Jutai,BR,-5.1833,-68.9,75.33,82,88,3.02,overcast clouds
110,Port Alfred,ZA,-33.5906,26.891,59.09,87,13,19.13,light rain
111,Hof,DE,50.3167,11.9167,51.51,87,99,3.0,overcast clouds
112,Ixtapa,MX,20.7,-105.2,76.23,94,99,2.73,overcast clouds
113,Jamestown,US,42.097,-79.2353,58.71,94,1,4.61,clear sky
114,Hualmay,PE,-11.0964,-77.6139,62.15,85,21,10.16,few clouds
115,Victor Harbor,AU,-35.5667,138.6167,72.19,70,18,1.01,few clouds
116,Liverpool,GB,53.4106,-2.9779,49.95,84,20,3.0,few clouds
117,Leninsk,RU,48.7119,45.1994,35.46,45,0,4.03,clear sky
