City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Hardy,CA,2021-09-30 22:17:23,50.6996,-127.4199,57.38,94,75,4.61
68,Egvekinot,RU,2021-09-30 22:19:03,66.3167,-179.1667,21.49,78,78,11.74
69,Saint-Philippe,RE,2021-09-30 22:14:09,-21.3585,55.7679,71.15,79,48,12.08
70,Birjand,IR,2021-09-30 22:19:05,32.8663,59.2211,66.67,20,0,11.5
71,Bunbury,AU,2021-09-30 22:19:05,-33.3333,115.6333,60.82,90,47,14.54
72,Calabozo,VE,2021-09-30 22:19:06,8.9242,-67.4293,81.82,77,40,2.66
73,Bykov,RU,2021-09-30 22:19:08,47.3167,142.55,50.79,94,12,3.49
74,Mayo,US,2021-09-30 22:19:08,38.8876,-76.5119,72.95,63,40,11.01
75,Tuatapere,NZ,2021-09-30 22:19:09,-46.1333,167.6833,52.83,68,70,5.91
76,Tuktoyaktuk,CA,2021-09-30 22:19:10,69.4541,-133.0374,32.0,69,40,4.61
77,Port Elizabeth,ZA,2021-09-30 22:16:06,-33.918,25.5701,61.11,100,75,10.36
78,Mataura,NZ,2021-09-30 22:19:12,-46.1927,168.8643,52.48,72,99,4.88
79,Cayenne,GF,2021-09-30 22:19:12,4.9333,-52.3333,83.08,79,0,4.0
80,Port Alfred,ZA,2021-09-30 22:19:13,-33.5906,26.891,62.89,92,18,3.78
81,Hithadhoo,MV,2021-09-30 22:19:14,-0.6,73.0833,81.23,74,72,2.06
82,Ilulissat,GL,2021-09-30 22:19:15,69.2167,-51.1,28.42,59,75,2.3
83,Along,IN,2021-09-30 22:19:16,28.1667,94.7667,72.48,99,61,0.54
84,Maneadero,MX,2021-09-30 22:19:16,31.7167,-116.5667,78.19,77,2,1.99
85,Labuhan,ID,2021-09-30 22:19:17,-6.8844,112.2051,78.13,78,18,11.81
86,Plettenberg Bay,ZA,2021-09-30 22:17:02,-34.0527,23.3716,59.81,87,100,2.06
87,Plotnikovo,RU,2021-09-30 22:19:18,55.0247,85.9436,37.74,93,100,9.15
88,Khatanga,RU,2021-09-30 22:19:19,71.9667,102.5,28.76,98,100,7.16
89,Charters Towers,AU,2021-09-30 22:19:20,-20.1,146.2667,70.25,78,93,11.48
90,Seoul,KR,2021-09-30 22:19:08,37.5683,126.9778,65.64,94,75,6.91
91,Port-Cartier,CA,2021-09-30 22:19:21,50.0334,-66.8654,43.02,94,100,9.89
92,Corona,US,2021-09-30 22:15:23,33.8753,-117.5664,95.85,12,1,14.97
93,Vondrozo,MG,2021-09-30 22:19:22,-22.8167,47.2833,61.7,94,56,2.04
94,Nanae,JP,2021-09-30 22:19:23,41.8833,140.6833,59.23,94,75,6.91
95,Ambon,ID,2021-09-30 22:19:24,-3.6954,128.1814,77.14,100,40,0.0
96,Mackay,AU,2021-09-30 22:15:23,-21.15,149.2,77.04,77,61,10.33
97,Evensk,RU,2021-09-30 22:19:25,61.95,159.2333,33.12,38,100,8.86
98,Aswan,EG,2021-09-30 22:19:26,24.0934,32.907,81.36,34,0,14.2
99,Halifax,CA,2021-09-30 22:14:57,44.6453,-63.5724,60.85,85,65,8.99
100,Kodiak,US,2021-09-30 22:19:27,57.79,-152.4072,49.51,53,90,5.75
101,Ponta Do Sol,PT,2021-09-30 22:19:28,32.6667,-17.1,72.23,72,11,8.86
102,Luebo,CD,2021-09-30 22:19:29,-5.35,21.4167,71.8,96,100,2.15
103,Sao Joao Da Barra,BR,2021-09-30 22:19:30,-21.6403,-41.0511,71.76,83,72,11.63
104,Bilma,NE,2021-09-30 22:16:00,18.6853,12.9164,85.17,11,0,9.01
105,Sisimiut,GL,2021-09-30 22:19:31,66.9395,-53.6735,33.89,73,100,6.35
106,Taoudenni,ML,2021-09-30 22:14:32,22.6783,-3.9836,94.21,9,66,11.12
107,Atambua,ID,2021-09-30 22:19:32,-9.1061,124.8925,72.46,75,24,2.98
108,Onguday,RU,2021-09-30 22:19:33,50.75,86.15,40.8,99,100,1.92
109,Talnakh,RU,2021-09-30 22:19:34,69.4865,88.3972,30.51,98,100,4.05
110,Kununurra,AU,2021-09-30 22:19:34,-15.7667,128.7333,76.98,78,9,0.0
111,Lebyazhye,RU,2021-09-30 22:19:35,55.2689,66.4947,33.26,62,44,10.11
112,Kavieng,PG,2021-09-30 22:19:36,-2.5744,150.7967,82.11,79,90,10.94
